id,class,subclass,subclass2,start year,influenced by,additional search terms
1,ancient greek,,,-900,,greek
2,ancient india,,,-800,,gupta
,,,,,,
3,roman,,,-500,ancient greek,ancient roman
4,byzantine,,,330,roman,
5,islamic,mamluk,,1250,,
6,islamic,ottoman,,1299,"mamluk, byzantine",
7,islamic,mughal,,1556,"ancient indian, islamic",
8,medieval,romanesque,,500,roman,
9,medieval,gothic,,1150,romanesque,
10,medieval,tudor,,1485,gothic,
11,medieval scandinavian,,,800,,
12,renaissance,italian renaissance,,1400,gothic,renaissance
13,renaissance,northern renaissance,,1400,gothic,
14,baroque,italian baroque,,1584,renaissance,baroque
15,baroque,french baroque,,1610,renaissance,
16,baroque,english baroque,,1666,renaissance,queen anne
17,baroque,spanish baroque,,1667,renaissance,
18,baroque,rococo,,1730,french baroque,"roccoco, late baroque"
19,palladian,,,1650,"ancient greek, roman",
20,neoclassical,georgian,,1714,palladian,
21,neoclassical,neoclassical,,1750,palladian,
22,neoclassical,Beuax-arts,,1830,neoclassical,
23,neoclassical,victorian,,1837,georgian,
24,modern,art deco,,1901,Beuax-arts,
25,colonial,french colonial,,1604,,
26,colonial,spanish colonial,,1600,,
27,colonial,portugese colonial,,1470,,
28,colonial,american colonial,dutch colonial,1600,,
29,colonial,german colonial,,1600,,
30,colonial,american colonial,mid atlantic colonial,1600,,
31,colonial,american colonial,colonial georgian,1600,,
,,,,,,
32,japanese,asuka,,538,,"nara, asuka"
33,japanese,heian,,794,,heian
34,japanese,kamakura,,1185,,muromachi
35,japanese,momoyama,,1568,,momoyama
36,japanese,edo,,1603,,edo
